CLCROP,CLPAST,CLIDLE,GL,FL,MISC,URBAN,OTHERS
20904,2280,1842,10126,61788,1118,3975,5112
20340,4217,0,6928,62759,1118,4126,6211
16635,3777,2418,7186,63537,770,4137,7191
15189,3217,2567,7999,63845,633,5821,5983
14016,2559,2598,7110,66637,628,6186,4907
12204,3669,1980,3162,71241,600,6632,4716
12937,3106,1291,3390,69730,361,7157,6203
13155,3117,1229,2963,68061,385,8993,5931
13600,2449,905,2612,68770,351,9802,4471
11765,2301,1641,2777,68645,323,9945,4454
11069,2035,1233,2987,68324,278,10597,5601
10715,1847,840,2827,65897,289,11407,7686
11417,1493,790,3025,65484,681,12338,6439
11043,887,1036,4627,66774,702,12537,3272
10877,310,1033,4916,65670,552,13340,3486
1331,74,85,439,16751,91,97,640
1186,221,0,273,16685,91,104,915
818,236,220,254,16901,44,113,853
717,171,298,291,17073,36,173,616
603,143,256,283,17244,34,176,561
491,119,125,174,17605,28,201,502
456,101,96,142,17505,18,214,710
491,98,100,118,17474,19,559,578
475,87,67,94,17565,17,605,536
390,87,100,72,17437,16,612,710
410,73,108,38,17461,14,476,735
324,65,77,37,16952,14,581,1197
344,48,86,42,16951,45,223,1468
341,37,85,105,17355,46,223,1007
328,8,55,159,17191,34,231,1159
443,48,18,231,4775,32,61,41
349,102,0,148,4823,32,66,106
252,88,45,157,4761,20,67,236
211,72,77,86,4805,15,90,258
172,62,22,47,4933,25,97,243
126,56,16,57,5046,13,151,203
120,43,11,34,5046,7,163,219
138,46,14,32,4867,7,350,122
127,31,8,46,4839,6,367,112
107,31,9,50,4803,6,412,81
109,26,8,48,4785,5,329,169
84,22,6,40,4551,7,376,344
77,20,11,47,4503,10,357,388
76,17,10,90,4422,12,359,200
73,2,18,116,4341,17,423,151
1171,93,17,1023,3356,31,46,114
937,219,0,752,3835,31,50,30
813,196,63,744,3720,30,45,247
761,196,31,692,3725,24,52,358
666,183,34,406,4280,25,53,54
543,279,45,290,4384,22,42,157
543,233,36,234,4384,15,42,238
583,254,25,188,4450,17,70,119
561,205,18,260,4432,15,85,126
438,188,29,200,4424,14,93,141
408,158,19,191,4474,12,103,229
342,132,10,212,4462,14,120,305
479,84,26,208,4483,19,95,198
413,47,27,261,4504,21,96,104
379,15,19,305,4476,30,101,106
589,77,37,247,3242,79,456,135
473,151,0,145,3298,79,452,222
342,143,76,153,3270,41,479,256
298,103,66,192,3270,31,752,72
240,80,49,135,3270,36,781,98
199,72,17,49,3412,43,897,99
193,55,16,52,2848,12,992,637
215,77,18,43,2847,13,1234,150
214,52,16,48,2811,13,1340,2
196,53,22,45,2760,14,1125,0
171,45,14,35,2678,12,1422,29
160,39,12,35,2475,13,1515,28
152,30,14,31,2330,16,1807,99
139,16,14,54,2240,18,1837,38
130,5,14,79,2088,31,1935,16
63,10,8,41,393,9,97,21
55,25,0,13,447,9,91,0
36,22,11,12,430,6,102,21
35,15,3,21,429,5,126,0
30,12,4,7,430,8,130,7
21,9,2,5,429,11,151,7
22,5,2,5,395,1,154,52
25,8,3,3,395,1,170,0
29,5,3,3,391,2,173,0
21,5,3,3,391,2,190,3
19,4,3,2,372,1,202,3
22,6,2,3,336,2,214,6
19,3,3,4,314,2,250,13
18,2,2,8,313,2,254,1
19,2,4,7,290,2,258,0
436,72,22,270,1833,44,260,85
369,129,0,157,1900,44,279,140
293,126,48,168,1979,40,253,97
246,79,33,194,1979,33,407,24
210,56,33,192,1979,18,453,27
162,69,21,54,2119,21,514,55
163,56,15,46,1846,9,548,325
180,55,15,47,1831,10,713,149
181,43,11,48,1745,9,778,155
152,40,15,47,1751,8,770,7
